Ma SP,Ten san pham,Kich thuoc (Size),Mau sac,SKU,Ton kho hien tai,So luong yeu cau,Don gia bao,So luong NCC con,So ngay giao hang,Ghi chu
﻿401,Adidas Dunk 371,35.5,Đỏ,adidas-dunk-371-35.5-Đỏ,0,10,1000000,13,20,con hang
﻿417,Adidas Dunk 371,35.5,Xám,adidas-dunk-371-35.5-Xám,0,10,1000000,13,20,con hang

﻿50,Balenciaga Chuck Taylor 771,36,Trắng,balenciaga-chuck-taylor-771-36-Trắng,0,10,1000000,13,20,con hang

﻿130,Adidas Air Force 578,36,Trắng,adidas-air-force-578-36-Trắng,0,10,1000000,13,20,con hang

﻿418,Adidas Dunk 371,36,Xám,adidas-dunk-371-36-Xám,0,10,1000000,13,20,con hang

﻿546,Jordan Old Skool 322,36,Nâu,jordan-old-skool-322-36-Nâu,3,7,1000000,13,20,con hang

﻿131,Adidas Air Force 578,36.5,Trắng,adidas-air-force-578-36.5-Trắng,0,10,1000000,13,20,con hang

﻿147,Adidas Air Force 578,36.5,Nâu,adidas-air-force-578-36.5-Nâu,0,10,1000000,13,20,con hang

﻿132,Adidas Air Force 578,37,Trắng,adidas-air-force-578-37-Trắng,0,10,1000000,13,20,con hang

﻿164,Adidas Air Force 578,37,Vàng,adidas-air-force-578-37-Vàng,0,10,1000000,13,20,con hang

﻿1236,Adidas Chuck Taylor 752,37,Đen,adidas-chuck-taylor-752-37-Đen,0,10,1000000,13,20,con hang

﻿133,Adidas Air Force 578,37.5,Trắng,adidas-air-force-578-37.5-Trắng,0,10,1000000,13,20,con hang

﻿405,Adidas Dunk 371,37.5,Đỏ,adidas-dunk-371-37.5-Đỏ,0,10,1000000,13,20,con hang

﻿1221,Adidas Chuck Taylor 752,37.5,Hồng,adidas-chuck-taylor-752-37.5-Hồng,0,10,1000000,13,20,con hang

﻿1237,Adidas Chuck Taylor 752,37.5,Đen,adidas-chuck-taylor-752-37.5-Đen,0,10,1000000,13,20,con hang

﻿166,Adidas Air Force 578,38,Vàng,adidas-air-force-578-38-Vàng,0,10,1000000,13,20,con hang

﻿136,Adidas Air Force 578,39,Trắng,adidas-air-force-578-39-Trắng,0,10,1000000,13,20,con hang

﻿152,Adidas Air Force 578,39,Nâu,adidas-air-force-578-39-Nâu,0,10,1000000,13,20,con hang

﻿1242,Adidas Chuck Taylor 752,40,Đen,adidas-chuck-taylor-752-40-Đen,0,10,1000000,13,20,con hang

﻿139,Adidas Air Force 578,40.5,Trắng,adidas-air-force-578-40.5-Trắng,0,10,1000000,13,20,con hang

﻿172,Adidas Air Force 578,41,Vàng,adidas-air-force-578-41-Vàng,0,10,1000000,13,20,con hang

﻿1245,Adidas Chuck Taylor 752,41.5,Đen,adidas-chuck-taylor-752-41.5-Đen,0,10,1000000,13,20,con hang

﻿142,Adidas Air Force 578,42,Trắng,adidas-air-force-578-42-Trắng,0,10,1000000,13,20,con hang

﻿159,Adidas Air Force 578,42.5,Nâu,adidas-air-force-578-42.5-Nâu,0,10,1000000,13,20,con hang

﻿1232,Adidas Chuck Taylor 752,43,Hồng,adidas-chuck-taylor-752-43-Hồng,0,10,1000000,13,20,con hang

